4.15,75.64
3.58,71.2
1.57,34.14
3.27,43.64
4.93,81.67
1.39,74.76
1.93,63.73
6.75,70.03
5.86,71.46
3.04,79.32
1.06,78.39
1.89,33.97
5.02,51.75
3.8,38.86
1.0,86.78
7.91,74.47
8.68,61.99
5.1,31.88
4.31,52.31
3.74,77.11
7.59,94.0
7.38,10.59
6.43,73.0
1.58,61.81
1.19,39.24
7.73,32.63
9.95,65.47
4.16,27.82
8.17,49.4
1.62,76.29
3.19,12.79
6.22,35.27
6.47,69.93
3.96,57.8
5.94,89.09
3.9,34.5
5.98,62.31
2.69,21.71
4.25,56.87
6.16,80.47
7.68,25.19
8.27,40.38
4.7,88.48
3.22,12.43
7.92,74.44
1.51,97.86
6.64,55.21
5.49,12.07
4.09,62.22
9.24,77.82
9.24,65.55
7.66,52.46
6.9,43.17
7.25,90.48
2.58,54.5
4.84,15.39
3.77,72.51
8.09,88.66
8.55,71.45
9.15,29.91
4.89,78.7
6.17,80.24
8.17,74.55
9.97,64.29
8.39,73.31
7.75,78.92
8.14,42.1
2.89,89.19
6.5,48.54
3.01,35.12
1.97,30.95
2.66,76.67
5.34,54.23
4.02,56.97
3.97,99.93
3.87,81.3
3.7,30.81
2.05,11.0
7.02,67.97
6.21,55.72
3.38,96.66
3.66,67.91
4.33,61.03
8.96,77.25
4.91,87.9
2.36,11.68
7.91,88.3
5.45,91.13
7.65,90.26
6.49,49.18
5.96,27.79
7.66,52.34
7.25,55.55
9.17,82.48
8.33,93.25
8.56,30.66
9.77,93.82
1.99,78.43
3.26,46.77
8.7,93.13
2.3,62.82
5.11,68.47
5.81,95.52
2.98,78.83
7.02,16.66
7.83,60.69
4.73,55.88
8.61,59.27
6.84,48.74
5.51,85.66
2.87,12.45
2.12,49.13
1.06,32.8
1.86,20.86
5.34,55.33
4.19,66.83
1.29,26.1
1.76,29.38
5.25,14.19
3.37,16.16
2.41,80.96
7.42,63.59
9.04,98.22
7.56,43.51
4.4,68.35
5.28,59.47
1.32,76.86
4.02,18.31
9.76,40.46
2.13,59.84
4.55,59.53
3.86,89.1
5.77,66.77
7.66,45.36
7.5,68.95
8.83,38.23
1.94,65.4
2.04,72.83
4.36,99.17
1.29,34.98
9.82,23.16
6.81,71.83
7.19,66.33
6.99,76.6
9.7,58.76
8.33,79.74
3.41,67.28
8.11,90.26
5.27,21.62
7.02,74.5
8.86,37.6
9.82,98.79
7.24,60.86
1.1,42.3
3.15,51.25
1.9,77.16
8.45,95.08
6.72,92.77
1.15,35.61
1.22,10.2
6.1,62.44
9.85,75.42
5.93,99.18
3.08,56.35
1.91,39.12
7.06,84.52
7.13,70.45
9.76,99.44
3.32,31.11
2.23,36.84
3.08,49.34
6.9,53.47
4.97,79.29
5.44,48.85
1.07,12.32
1.69,19.59
3.89,57.75
4.58,73.62
2.61,33.88
9.37,61.07
5.47,50.42
8.67,38.2
3.28,85.17
9.64,13.98
6.63,36.82
4.27,35.13
8.53,90.23
2.81,95.46
5.35,48.02
9.82,74.52
7.97,24.94
7.16,32.93
2.57,89.8
5.59,48.38
5.56,92.29
7.44,84.62
5.22,54.56
4.42,67.3
2.83,49.83
9.23,96.79
8.44,26.41
8.87,32.85
5.62,19.4
4.32,31.07
5.27,76.54
2.68,17.13
2.69,34.34
6.62,41.84
6.65,25.55
3.22,26.3
7.64,63.73
7.5,20.3
2.8,30.69
4.27,61.57
5.68,64.83
3.17,52.89
5.63,64.13
6.3,73.86
9.28,12.92
1.75,33.82
4.28,88.68
5.85,96.07
8.71,77.51
1.48,62.79
9.64,61.35
9.32,62.88
9.05,19.69
3.62,39.17
9.8,54.71
4.42,41.29
9.92,22.78
2.7,91.13
6.15,42.14
4.57,27.23
9.52,90.34
7.63,77.76
2.27,18.36
5.61,47.06
4.25,64.09
7.74,26.61
2.44,23.04
1.57,55.43
4.39,24.52
6.93,38.56
6.51,76.12
4.72,93.19
6.36,94.09
2.42,95.82
7.54,56.98
3.94,28.53
7.71,99.26
1.71,18.69
4.64,24.96
9.12,43.7
9.74,19.0
3.39,86.71
1.12,99.54
6.64,65.62
3.84,27.98
7.51,14.49
4.66,63.61
3.14,18.86
3.04,21.26
8.54,33.16
5.62,51.93
4.6,32.18
9.12,30.95
5.04,18.25
4.86,91.33
4.02,34.72
5.68,75.49
4.65,90.44
8.31,16.55
9.47,17.74
5.08,72.1
7.11,68.51
8.08,65.57
5.07,36.83
6.3,19.47
5.72,99.34
5.01,49.21
5.95,87.4
2.03,66.38
2.74,65.32
5.97,88.22
1.32,71.8
9.15,61.78
